,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Unnamed: 13,Yearly Average
0,1901,8.0,9.44,17.29,21.74,26.51,29.87,29.66,28.29,25.73,21.58,16.07,11.2,,20.448333333333334
1,1902,10.07,11.52,17.65,22.48,27.14,29.23,29.73,28.68,25.57,21.33,15.59,10.28,,20.772499999999997
2,1903,8.03,10.32,13.87,20.2,26.13,30.24,29.47,28.27,26.34,21.68,14.47,9.59,,19.88416666666667
3,1904,7.38,11.68,15.76,22.26,26.71,29.74,29.13,28.24,25.68,20.86,15.74,10.97,,20.345833333333335
4,1905,7.13,7.87,13.17,20.36,27.57,29.78,29.67,28.65,25.97,21.93,16.42,10.54,,19.92166666666667
5,1906,7.39,8.87,14.79,20.85,27.57,29.47,29.67,28.5,25.38,21.69,16.44,11.73,,20.195833333333333
6,1907,,,,,,28.66,30.04,27.62,25.31,20.58,15.73,9.94,,
7,1908,9.31,10.8,15.45,22.08,,,,,24.71,20.25,14.98,9.85,,
8,1909,7.42,9.85,16.29,21.43,26.09,29.47,28.34,27.67,,,,10.03,,
9,1910,8.61,11.13,15.55,20.63,26.69,29.42,28.57,27.75,25.45,20.6,14.46,9.01,,19.822499999999998
10,1911,8.75,11.09,14.47,21.21,27.09,29.68,29.56,28.28,25.87,21.15,13.64,10.15,,20.078333333333337
11,1912,9.56,11.94,15.67,22.2,26.86,30.32,29.77,27.78,24.64,21.3,14.5,10.25,,20.39916666666667
12,1913,9.75,10.26,14.01,21.93,26.38,29.22,29.0,27.72,25.06,21.34,14.87,10.21,,19.979166666666668
13,1914,10.62,9.94,15.31,21.63,27.11,30.03,29.08,28.02,26.2,20.53,15.91,9.3,,20.30666666666667
14,1915,8.65,9.55,17.19,21.67,28.11,30.2,29.8,28.84,26.81,22.09,15.93,10.62,,20.788333333333338
15,1916,10.11,9.7,18.02,22.59,26.11,29.41,29.38,28.13,25.42,20.78,13.18,9.78,,20.2175
16,1917,9.89,12.36,16.06,20.36,25.33,29.17,28.92,27.43,24.64,19.95,13.49,9.9,,19.791666666666668
17,1918,7.97,11.04,15.55,19.95,27.53,29.25,29.72,28.62,25.16,21.04,14.92,9.19,,19.994999999999997
18,1919,7.98,9.9,15.85,21.29,26.31,30.11,29.36,27.76,24.62,20.8,14.72,9.7,,19.866666666666667
19,1920,9.02,9.59,16.05,20.75,24.39,28.53,29.16,27.7,26.08,21.92,15.64,9.45,,19.856666666666666
20,1921,9.14,10.35,17.77,23.46,27.26,29.72,29.7,27.53,25.22,20.62,15.36,11.33,,20.621666666666666
21,1922,8.71,11.5,16.93,22.47,26.29,29.36,29.78,28.21,25.31,20.55,15.15,10.59,,20.404166666666672
22,1923,8.78,10.16,16.79,22.06,25.74,30.02,28.94,27.57,24.95,20.37,14.27,9.65,,19.941666666666666
23,1924,8.22,10.9,17.57,22.15,24.51,29.96,30.02,28.14,24.61,20.7,14.43,10.47,,20.140000000000004
24,1925,7.33,8.61,17.39,23.53,26.58,28.98,28.88,28.14,25.89,21.9,14.53,10.69,,20.204166666666666
25,1926,,,,,,,,,,,,,,
26,1927,7.32,9.42,15.07,21.33,25.95,29.38,29.26,27.69,25.33,21.69,15.07,10.94,,19.870833333333334
27,1928,8.33,11.12,16.05,22.16,27.38,29.59,29.33,27.94,24.86,21.45,15.53,9.84,,20.298333333333332
28,1929,7.6,9.44,17.94,22.97,26.89,29.58,28.81,27.37,25.74,20.62,15.51,8.1,,20.0475
